id,title,artist,score
23isjR8d6wFGUE1FGoAgqu,Jakarta Pagi Ini,Slank,-0.6531572379811438
71lK2GJzwUVThQuOGKTHSE,The Violation,Fleshgod Apocalypse,-0.6529054953606739
2drx5tUgMv5Vj34jkE0OTS,Better To Reign In Hell,Cradle Of Filth,-0.6520512352880621
2P3YmNhaaZXrLrI3qYy5SD,God = Dog,Behemoth,-0.6519459324198121
2UznT9UMFxx41vmzWm5Bmi,The Ar - remastered,Tiamat,-0.6516019585791066
2YOZHcypOnfbG5cfsSpW4N,Redentor,Marcelo Markes;Sarah Beatriz,-0.6515551567377367
2t0wwvR15fc3K1ey8OiOaN,Selfless,The Strokes,-0.6506859012174679
2t0wwvR15fc3K1ey8OiOaN,Selfless,The Strokes,-0.6506859012174679
591wL6GQKpgSGndbkfClhE,Innocence Died Screaming,Carnifex,-0.6505977226484594
6rMyACubLtriksAM48FkL5,Hurt and Virtue,Cradle Of Filth,-0.650335061814117
6ql0ffq6Jvyh9OKqrJCMaP,In the Shadows,Amy Stroup,-0.6495959634306225
1VoBJPFo4NTEQHYNjv36Go,Canadian Metal,Darkthrone,-0.6487714876953989
